,anio,region,prov,mes,f_BIODIESEL
0,2011,5,0,1,1
1,2011,5,0,1,1
2,2011,8,3,1,0
3,2011,7,8,1,0
4,2011,3,9,1,0
5,2011,7,19,1,0
6,2011,1,4,1,0
7,2011,3,9,1,0
8,2011,1,4,1,0
9,2011,1,4,1,0
10,2011,3,9,1,0
11,2011,3,14,1,0
12,2011,8,3,1,0
13,2011,7,19,1,0
14,2011,3,9,1,0
15,2011,1,4,1,0
16,2011,7,19,1,0
17,2011,3,9,1,1
18,2011,3,9,1,1
19,2011,7,6,1,0
20,2011,1,4,1,0
21,2011,7,18,1,0
22,2011,1,4,1,0
23,2011,0,0,1,0
24,2011,0,0,1,0
25,2011,3,9,1,0
26,2011,4,0,1,1
27,2011,4,0,1,1
28,2011,1,4,1,0
29,2011,6,10,1,0
30,2011,7,19,1,0
31,2011,3,14,1,0
32,2011,1,4,1,0
33,2011,7,18,1,0
34,2011,7,6,1,0
35,2011,2,12,1,0
36,2011,5,17,1,0
37,2011,3,14,1,0
38,2011,3,9,1,0
39,2011,5,0,1,1
40,2011,1,4,1,0
41,2011,7,13,1,0
42,2011,3,14,1,0
43,2011,5,0,2,1
44,2011,5,0,2,1
45,2011,8,3,2,0
46,2011,7,8,2,0
47,2011,3,9,2,0
48,2011,7,19,2,0
49,2011,1,4,2,0
50,2011,3,9,2,0
51,2011,1,4,2,0
52,2011,1,4,2,0
53,2011,3,9,2,0
54,2011,3,14,2,0
55,2011,8,3,2,0
56,2011,7,19,2,0
57,2011,3,9,2,0
58,2011,1,4,2,0
59,2011,7,19,2,0
60,2011,3,9,2,1
61,2011,3,9,2,1
62,2011,7,6,2,0
63,2011,1,4,2,0
64,2011,7,18,2,0
65,2011,1,4,2,0
66,2011,0,0,2,0
67,2011,0,0,2,0
68,2011,3,9,2,0
69,2011,4,0,2,1
70,2011,4,0,2,1
71,2011,1,4,2,0
72,2011,6,10,2,0
73,2011,7,19,2,0
74,2011,3,14,2,0
75,2011,1,4,2,0
76,2011,7,18,2,0
77,2011,7,6,2,0
78,2011,2,12,2,0
79,2011,5,17,2,0
80,2011,3,14,2,0
81,2011,3,9,2,0
82,2011,5,0,2,1
83,2011,1,4,2,0
84,2011,7,13,2,0
85,2011,3,14,2,0
86,2011,5,0,3,1
87,2011,5,0,3,1
88,2011,8,3,3,0
89,2011,7,8,3,0
90,2011,3,9,3,0
91,2011,7,19,3,0
92,2011,1,4,3,0
93,2011,3,9,3,0
94,2011,1,4,3,0
95,2011,1,4,3,0
96,2011,3,9,3,0
97,2011,3,14,3,0
98,2011,8,3,3,0
99,2011,7,19,3,0
100,2011,3,9,3,0
101,2011,1,4,3,0
102,2011,7,19,3,0
103,2011,3,9,3,1
104,2011,3,9,3,1
105,2011,7,6,3,0
106,2011,1,4,3,0
107,2011,7,18,3,0
108,2011,1,4,3,0
109,2011,0,0,3,0
110,2011,0,0,3,0
111,2011,3,9,3,0
112,2011,4,0,3,1
113,2011,4,0,3,1
114,2011,1,4,3,0
115,2011,6,10,3,0
116,2011,7,19,3,0
117,2011,3,14,3,0
118,2011,1,4,3,0
119,2011,7,18,3,0
120,2011,7,6,3,0
121,2011,2,12,3,0
122,2011,5,17,3,0
123,2011,3,14,3,0
124,2011,3,9,3,0
125,2011,5,0,3,1
126,2011,1,4,3,0
127,2011,7,13,3,0
128,2011,3,14,3,0
129,2011,5,0,4,1
130,2011,5,0,4,1
131,2011,8,3,4,0
132,2011,7,8,4,0
133,2011,3,9,4,0
134,2011,7,19,4,0
135,2011,1,4,4,0
136,2011,3,9,4,0
137,2011,1,4,4,0
138,2011,1,4,4,0
139,2011,3,9,4,0
140,2011,3,14,4,0
141,2011,8,3,4,0
142,2011,7,19,4,0
143,2011,3,9,4,0
144,2011,1,4,4,0
145,2011,7,19,4,0
146,2011,3,9,4,1
147,2011,3,9,4,1
148,2011,7,6,4,0
149,2011,1,4,4,0
150,2011,7,18,4,0
151,2011,1,4,4,0
152,2011,0,0,4,0
153,2011,0,0,4,0
154,2011,3,9,4,0
155,2011,4,0,4,1
156,2011,4,0,4,1
157,2011,1,4,4,0
158,2011,6,10,4,0
159,2011,7,19,4,0
160,2011,3,14,4,0
161,2011,1,4,4,0
162,2011,7,18,4,0
163,2011,7,6,4,0
164,2011,2,12,4,0
165,2011,5,17,4,0
166,2011,3,14,4,0
167,2011,3,9,4,0
168,2011,5,0,4,1
169,2011,1,4,4,0
170,2011,7,13,4,0
171,2011,3,14,4,0
172,2011,5,0,5,1
173,2011,5,0,5,1
174,2011,8,3,5,0
175,2011,7,8,5,0
176,2011,3,9,5,0
177,2011,7,19,5,0
178,2011,1,4,5,0
179,2011,3,9,5,0
180,2011,1,4,5,0
181,2011,1,4,5,0
182,2011,3,9,5,0
183,2011,3,14,5,0
184,2011,8,3,5,0
185,2011,7,19,5,0
186,2011,3,9,5,0
187,2011,1,4,5,0
188,2011,7,19,5,0
189,2011,3,9,5,1
190,2011,3,9,5,1
191,2011,7,6,5,0
192,2011,1,4,5,0
193,2011,7,18,5,0
194,2011,1,4,5,0
195,2011,0,0,5,0
196,2011,0,0,5,0
197,2011,3,9,5,0
198,2011,4,0,5,1
199,2011,4,0,5,1
200,2011,1,4,5,0
201,2011,6,10,5,0
202,2011,7,19,5,0
203,2011,3,14,5,0
204,2011,1,4,5,0
205,2011,7,18,5,0
206,2011,7,6,5,0
207,2011,2,12,5,0
208,2011,5,17,5,0
209,2011,3,14,5,0
210,2011,3,9,5,0
211,2011,5,0,5,1
212,2011,1,4,5,0
213,2011,7,13,5,0
214,2011,3,14,5,0
215,2011,5,0,6,1
216,2011,5,0,6,1
217,2011,8,3,6,0
218,2011,7,8,6,0
219,2011,3,9,6,0
220,2011,7,19,6,0
221,2011,1,4,6,0
222,2011,3,9,6,0
223,2011,1,4,6,0
224,2011,1,4,6,0
225,2011,3,9,6,0
226,2011,3,14,6,0
227,2011,8,3,6,0
228,2011,7,19,6,0
229,2011,3,9,6,0
230,2011,1,4,6,0
